番号,背景,左立ち絵,右立ち絵,キャラ名,喋っているキャラ,セリフ
1,0,3,11,   クロト,1,ルイス！！　俺はここまで成長したぞ！ 
2,0,3,11,   クロト,1,あの頃のかっこいいルイ兄はどこにいったんだ！ 
3,0,3,11,   クロト,1,真面目で厳しくて仲間想いの…… 
4,0,3,11,   クロト,1,俺が尊敬してたルイ兄なら、 
5,0,3,11,   クロト,1,あの事件だって変だとすぐわかったんだ！ 
6,0,3,11,   クロト,1,何で信じられなかったんだよ！ 
7,0,3,11,   ルイス,2,仕方ないだろう……仲間が殺されたんだぞ！
8,0,3,11,   ルイス,2,……冷静でいられるはずがない。
9,0,3,11,   クロト,1,じゃあ何であんな言い争いをしたんだ！ 
10,0,3,12,   ルイス,2,…… 
11,0,1,12,   クロト,1,ルイ兄。もう一度会って話すべきだ。
12,0,1,12,   クロト,1,ルミナは絶対にシースティ姉の近くにいさせちゃいけない。 
13,0,1,12,   クロト,1,確信しているんだ。彼女はオセリスを使って二人をはめた張本人なんだって。
14,0,1,12,   ルイス,2,……納得したわけじゃない。 
15,0,1,12,   ルイス,2,でも、お前が勝ったら言うことを聞く約束だったからな、
16,0,1,12,   ルイス,2,二人の……シースティのもとに向かおう。
