番号,背景,左立ち絵,右立ち絵,キャラ名,喋っているキャラ,セリフ
1,4,13,0,   ルミナ,1,あの頃は楽しかったな。四人で仲良く訓練して…… 
2,4,13,0,   ルミナ,1,シースティちゃんとも毎日一緒にいたのに。
3,4,16,0,   ルミナ,1,いつの間にか、ルイスばかりを見るようになって…… 
4,4,16,0,   ルミナ,1,あいつが……シースティちゃんを変えちゃったんだ。
5,4,16,0,   ルミナ,1,彼女の顔も彼女の心も彼女の力も彼女の声も、 
6,4,16,0,   ルミナ,1,彼女は誰にも渡さない、
7,4,16,0,   ルミナ,1,彼女以外は、誰もいらない。
8,4,0,0,,0,ルミナは巡回中だったルイスの仲間を見つけ、 
9,4,0,0,,0,セオリヤを奪うことなく殺して回る。 
10,4,14,0,   ルミナ,1,誰も僕の力は知らないし、対立しているコロニーはお互い何を言ったって言い訳にしか聞こえない。
11,4,14,0,   ルミナ,1,ルイスを殺すだけでも良かったんだけど、 
12,4,14,0,   ルミナ,1,シースティちゃんの心にあいつが巣食う可能性もあったしなー 
13,4,0,0,,0,なるべく惨たらしくなるよう既に絶命した死体を切り刻みながら、彼女は呟く。 
14,4,9,0,,1,計画のためにルミナはルイスとなった。 
15,4,14,0,   ルミナ,1,……可愛いなあ。
16,4,14,5,シースティ,2,何か言いました？ 
17,4,14,5,   ルミナ,1,さっ、もう一本お願い、シースティちゃん。
18,4,14,5,シースティ,2,ええ、もちろんですわ。
