番号,背景,左立ち絵,右立ち絵,キャラ名,喋っているキャラ,セリフ
1,0,7,0,シースティ,1,今度はなんですの？　先ほどとは違いわざと私たちに近づいてきましたよね。
2,0,7,9,   ルイス,2,お前に話があって、来た。
3,0,7,9,シースティ,1,何を今更。
4,0,16,9,   ルミナ,1,私は、あなたのことが信用できない。
5,0,16,11,   ルイス,2,ルミナには関係ないだろ！ 
6,0,16,11,   ルミナ,1,関係あるよ！　私はもう、シースティちゃんの悲しんでいる姿は見たくないの！ 
7,0,16,3,   クロト,2,お前がそれを言うのか！ 
8,0,7,3,シースティ,1,あなたもですよ。クロト！ 
9,0,7,3,シースティ,1,あなたに反発される筋合いはありませんわ！ 
10,0,7,11,   ルイス,2,シースティ、俺は争う気持ちはない。話を聞いてくれ！ 
11,0,7,11,シースティ,1,争う気持ちはない？ 
12,0,7,11,シースティ,1,これ以上、言葉を続ける気ならオセリスで勝負です。
13,0,7,11,シースティ,1,あなたが勝てば、大人しく話を聞きましょう。 
14,0,7,11,シースティ,1,まあ、到底無理でしょうが。
15,0,7,9,   ルイス,2,……いいだろう。その勝負、受けてやる。
16,0,0,0,,0,彼らは、互いを牽制しながら森の奥へと消えていった。 
17,0,7,9,シースティ,1,さあ、勝負です。ルイス。
18,0,7,9,シースティ,1,私たちの実力差、その身をもって感じなさい。
